"Question","Answer"
"What is the full name of Rajju Bhaiya University?","Prof. Rajendra Singh (Rajju Bhaiya) University, Prayagraj."
"Where is Prof. Rajendra Singh (Rajju Bhaiya) University located?","The university is located in Prayagraj, Uttar Pradesh, India, and serves colleges across several districts."
"Is Rajju Bhaiya University a state government university?","Yes, it is a state university established by the Government of Uttar Pradesh."
"When was Rajju Bhaiya University established?","The university was established in 2016."
"Is Rajju Bhaiya University UGC recognized?","Yes, it is recognized by the University Grants Commission (UGC) of India."
"What is the NAAC accreditation status of the university?","The university has been awarded an [A] grade by NAAC."
"What are the major courses offered at Rajju Bhaiya University?","Courses include BA, BSc, BCom, MA, MSc, MCom, B.Ed, LLB, and Ph.D. programs."
"How can I apply online for admission?","Visit the official website http://prsuniv.ac.in and fill out the online admission form."
"How can I check my result online?","Go to http://erp.prsuniv.ac.in and click on “Results,” then enter your roll number."
"Are distance education courses available?","No, the university does not currently offer distance learning courses."
"How to download my admit card?","Admit cards are available on the official student portal before exams."
"Is hostel facility available?","Hostel facilities are available for both boys and girls in selected affiliated colleges."
"What is the process to get a migration certificate?","Submit an application to the examination section with relevant documents."
"What is the helpline number for student queries?","The helpline can be reached via the contact details on the official website."
"How can I get a duplicate mark sheet?","Apply through the university office with an affidavit and a nominal fee."
"What is the fee structure for B.Sc. courses?","Fees vary by affiliated college; generally between ₹10,000–₹15,000 per year."
"How are internal marks calculated?","Internal marks are based on assignments, class tests, and attendance."
"What documents are required during admission?","10th and 12th mark sheets, transfer certificate, ID proof, and passport-size photos."
"Is there any anti-ragging policy?","Yes, strict anti-ragging laws are enforced, and a cell is available for complaints."
"What is the duration of the B.Ed. course?","The B.Ed. program is of two years (four semesters) duration."
"Is there any entrance exam for UG courses?","Yes, but some courses have merit-based admission also."
"What is the syllabus for the B.Sc. entrance exam (if applicable)?","Currently, most B.Sc. courses are admitted via merit. For any entrance, details are uploaded on the university website."
"How can I get my original degree certificate?","Submit an application with your mark sheets and ID at the registrar office."
"What is the attendance requirement to appear in exams?","Minimum 75% attendance is required to be eligible for university exams."
"What is the process for revaluation of answer sheets?","Apply within 15 days after result declaration with a nominal fee per subject."
"How long does it take to get revaluation results?","Revaluation results are typically declared within 30–45 days."
"Can I get photocopies of my evaluated answer sheets?","Yes, photocopies can be requested through RTI or university process."
"What is the academic calendar of Rajju Bhaiya University?","The academic calendar is released annually on the university website."
"Are there summer or winter vacations?","Yes, the university observes both summer and winter breaks as per the calendar."
"How many semesters are there in a B.Com program?","The B.Com course is divided into 6 semesters over 3 years."
"Can I do a certificate course along with my degree?","Yes, students can enroll in add-on or certificate courses through affiliated colleges."
"What is the grading system used in the university?","The university follows a percentage-based system for most programs, though some colleges may use grading."
"How can I download previous year question papers?","Some colleges provide them; you can also ask faculty or visit the library."
"How can I recover my lost admit card?","Contact the college office or download a duplicate from the portal."
"When are practical exams held?","Practical exams are held a few weeks before or after theory exams, as per the schedule."
"What is the process for getting a character certificate?","Apply through your college office with ID proof and a recent photo."
"Can I apply for jobs with a provisional certificate?","Yes, provisional certificates are valid for job applications until the original degree is issued."
"What is the last date to pay semester fees?","Deadlines vary each semester; check the portal or notice board regularly."
"Are grace marks given in exams?","Grace marks may be given as per university policy, usually up to 5 marks."
"How are toppers rewarded in the university?","Toppers are awarded medals and certificates during convocation or university functions."
"What is the format of semester exams?","Exams are usually descriptive, with sections for short and long answers."
"Can I get a refund if I cancel my admission?","Refund policies vary; generally, partial fees may be refunded before a specific deadline."
"Does the university provide scholarship facilities?","Yes, government scholarships are available for eligible SC/ST/OBC/Minority students."
"How can I apply for a scholarship?","Apply through the UP Scholarship portal: https://scholarship.up.gov.in"
"What is the process to change my subject after admission?","You need to submit a request to your college within the allowed timeline."
"Can I pursue two degrees simultaneously?","As per UGC guidelines, two degrees can be pursued in different modes (e.g., one online, one offline)."
"Is there any alumni network for the university?","Some affiliated colleges have alumni associations, but no central alumni body exists yet."
"What are the career options after completing B.A. from this university?","Students can pursue civil services, teaching, journalism, or post-graduate studies."
"Does the university have a grievance redressal system?","Yes, there is a grievance cell in each college as per UGC norms."
"How to file an RTI application to the university?","RTI applications can be submitted to the Public Information Officer via post or in person."
"What are the internship opportunities provided?","Internships depend on the course and are often self-arranged or provided by individual colleges."
"Are there any job fairs or career counseling sessions?","Occasionally, colleges organize such sessions independently."
"How to get correction in name or date of birth in documents?","Submit notarized documents and proof to the examination department for rectification."
"How to transfer from one affiliated college to another?","A migration and transfer request needs to be approved by both colleges and the university."
"What is the process of re-registration for back paper students?","Back paper forms are available online; re-registration requires fee payment and form submission."
"Are there cultural or sports events organized?","Yes, many affiliated colleges conduct annual fests, sports meets, and cultural events."
"What are the exam center details?","Exam centers are allotted based on your college and mentioned on the admit card."
"Can international students apply for admission?","Currently, the university caters mostly to domestic students; foreign admission is limited."
"How to apply for a transcript for study abroad?","Apply with a written request, mark sheets, and fees to the registrar's office or examination cell."
"What is the format for PhD entrance and interview?","PhD admissions are through an entrance exam followed by an interview, as per UGC norms."
"Does the university offer M.Ed. or LLM courses?","These courses are offered in selected affiliated colleges; check the university prospectus."
"Can students use the university central library?","Yes, if enrolled in a campus course or granted access via an affiliated college."
"How to get an enrollment number?","Enrollment numbers are issued after admission confirmation and document verification."
"What is the timeline for convocation?","Convocation is usually held once a year; the date is announced on the official website."
"Can I attend convocation without collecting the degree?","Yes, you can attend convocation and collect the degree during the ceremony."
